Satellite: NOAA-18
Start date & time: 2020-03-12   15:00:08 UTC
Orbit: 76312
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

15:00:08   222:49   057:00
15:00:09   223:29   057:12
15:00:10   224:09   057:24
15:00:11   224:50   057:36
15:00:12   225:32   057:48
15:00:13   226:14   058:00
15:00:14   226:57   058:12
15:00:15   227:40   058:23
15:00:16   228:24   058:34
15:00:17   229:09   058:45
15:00:18   229:54   058:56
15:00:19   230:40   059:06
15:00:20   231:27   059:16
15:00:21   232:14   059:26
15:00:22   233:01   059:36
15:00:23   233:50   059:45
15:00:24   234:39   059:54
15:00:25   235:28   060:03
15:00:26   236:18   060:11
15:00:27   237:08   060:19
15:00:28   237:59   060:27
15:00:29   238:51   060:35
15:00:30   239:43   060:42
15:00:31   240:35   060:49
15:00:32   241:28   060:55
15:00:33   242:22   061:02
15:00:34   243:16   061:07
15:00:35   244:10   061:13
15:00:36   245:04   061:18
15:00:37   245:59   061:23
15:00:38   246:55   061:27
15:00:39   247:50   061:31
15:00:40   248:46   061:35
15:00:41   249:42   061:38
15:00:42   250:39   061:41
15:00:43   251:35   061:43
15:00:44   252:32   061:45
15:00:45   253:29   061:47
15:00:46   254:26   061:48
15:00:47   255:23   061:49
15:00:48   256:20   061:49
15:00:49   257:17   061:49
15:00:50   258:14   061:49
15:00:51   259:11   061:48
15:00:52   260:08   061:47
15:00:53   261:05   061:45
15:00:54   262:02   061:43
15:00:55   262:58   061:41
15:00:56   263:55   061:38
15:00:57   264:51   061:35
15:00:58   265:47   061:31
15:00:59   266:42   061:27
15:00:00   267:38   061:23
15:00:01   268:33   061:18
15:00:02   269:27   061:13
15:00:03   270:22   061:08
15:00:04   271:15   061:02
15:00:05   272:09   060:56
15:00:06   273:02   060:49
15:00:07   273:54   060:42
15:01:08   274:46   060:35
15:01:09   275:38   060:28
15:01:10   276:29   060:20
15:01:11   277:19   060:12
15:01:12   278:09   060:03
15:01:13   278:59   059:54
15:01:14   279:48   059:45
15:01:15   280:36   059:36
15:01:16   281:23   059:27
15:01:17   282:11   059:17
15:01:18   282:57   059:07
15:01:19   283:43   058:56
15:01:20   284:28   058:46
15:01:21   285:13   058:35
15:01:22   285:57   058:24
15:01:23   286:41   058:12
15:01:24   287:23   058:01
15:01:25   288:06   057:49
15:01:26   288:47   057:37
15:01:27   289:28   057:25
15:01:28   290:09   057:13
15:01:29   290:49   057:00
