Satellite: METEOR-M2 2
Start date & time: 2020-03-12   11:04:01 UTC
Orbit: 3571
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

11:04:01   090:16   056:59
11:04:02   089:30   057:09
11:04:03   088:44   057:18
11:04:04   087:57   057:27
11:04:05   087:10   057:36
11:04:06   086:22   057:44
11:04:07   085:34   057:52
11:04:08   084:45   058:00
11:04:09   083:56   058:07
11:04:10   083:06   058:15
11:04:11   082:16   058:21
11:04:12   081:26   058:28
11:04:13   080:35   058:34
11:04:14   079:44   058:40
11:04:15   078:52   058:45
11:04:16   078:00   058:50
11:04:17   077:08   058:55
11:04:18   076:15   058:59
11:04:19   075:22   059:03
11:04:20   074:29   059:07
11:04:21   073:36   059:10
11:04:22   072:42   059:13
11:04:23   071:49   059:16
11:04:24   070:55   059:18
11:04:25   070:01   059:19
11:04:26   069:06   059:21
11:04:27   068:12   059:22
11:04:28   067:18   059:22
11:04:29   066:24   059:22
11:04:30   065:29   059:22
11:04:31   064:35   059:21
11:04:32   063:41   059:20
11:04:33   062:47   059:19
11:04:34   061:53   059:17
11:04:35   060:59   059:15
11:04:36   060:05   059:12
11:04:37   059:12   059:10
11:04:38   058:19   059:06
11:04:39   057:26   059:03
11:04:40   056:33   058:58
11:04:41   055:40   058:54
11:04:42   054:48   058:49
11:04:43   053:56   058:44
11:04:44   053:05   058:39
11:04:45   052:14   058:33
11:04:46   051:23   058:26
11:04:47   050:33   058:20
11:04:48   049:43   058:13
11:04:49   048:53   058:06
11:04:50   048:04   057:58
11:04:51   047:16   057:51
11:04:52   046:28   057:43
11:04:53   045:40   057:34
11:04:54   044:53   057:25
11:04:55   044:06   057:16
11:04:56   043:20   057:07
