Satellite: METOP-A
Start date & time: 2020-03-12   07:28:47 UTC
Orbit: 69507
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

07:28:47   336:54   057:00
07:28:48   336:19   057:16
07:28:49   335:43   057:33
07:28:50   335:07   057:49
07:28:51   334:29   058:05
07:28:52   333:51   058:21
07:28:53   333:13   058:37
07:28:54   332:33   058:53
07:28:55   331:53   059:09
07:28:56   331:11   059:25
07:28:57   330:29   059:40
07:28:58   329:47   059:55
07:28:59   329:03   060:10
07:28:00   328:18   060:25
07:28:01   327:33   060:40
07:28:02   326:47   060:54
07:28:03   325:59   061:09
07:28:04   325:11   061:23
07:28:05   324:22   061:36
07:28:06   323:32   061:50
07:28:07   322:41   062:03
07:28:08   321:50   062:16
07:28:09   320:57   062:28
07:28:10   320:03   062:41
07:28:11   319:09   062:53
07:28:12   318:13   063:04
07:28:13   317:17   063:16
07:28:14   316:20   063:27
07:28:15   315:22   063:37
07:28:16   314:23   063:47
07:28:17   313:23   063:57
07:28:18   312:22   064:06
07:28:19   311:21   064:15
07:28:20   310:18   064:24
07:28:21   309:15   064:32
07:28:22   308:12   064:40
07:28:23   307:07   064:47
07:28:24   306:02   064:53
07:28:25   304:56   065:00
07:28:26   303:50   065:05
07:28:27   302:43   065:11
07:28:28   301:36   065:15
07:28:29   300:28   065:19
07:28:30   299:20   065:23
07:28:31   298:11   065:26
07:28:32   297:02   065:29
07:28:33   295:53   065:31
07:28:34   294:44   065:32
07:28:35   293:34   065:33
07:28:36   292:25   065:34
07:28:37   291:15   065:34
07:28:38   290:06   065:33
07:28:39   288:56   065:32
07:28:40   287:47   065:30
07:28:41   286:38   065:28
07:28:42   285:29   065:25
07:28:43   284:21   065:22
07:28:44   283:13   065:18
07:28:45   282:05   065:14
07:28:46   280:58   065:09
07:29:47   279:51   065:03
07:29:48   278:45   064:57
07:29:49   277:39   064:51
07:29:50   276:34   064:44
07:29:51   275:30   064:37
07:29:52   274:26   064:29
07:29:53   273:24   064:21
07:29:54   272:22   064:12
07:29:55   271:20   064:03
07:29:56   270:20   063:54
07:29:57   269:20   063:44
07:29:58   268:22   063:33
07:29:59   267:24   063:23
07:29:00   266:27   063:12
07:29:01   265:31   063:00
07:29:02   264:36   062:48
07:29:03   263:41   062:36
07:29:04   262:48   062:24
07:29:05   261:55   062:11
07:29:06   261:04   061:58
07:29:07   260:13   061:45
07:29:08   259:24   061:31
07:29:09   258:35   061:17
07:29:10   257:47   061:03
07:29:11   257:00   060:49
07:29:12   256:14   060:34
07:29:13   255:29   060:19
07:29:14   254:44   060:04
07:29:15   254:01   059:49
07:29:16   253:18   059:34
07:29:17   252:37   059:18
07:29:18   251:56   059:03
07:29:19   251:15   058:47
07:29:20   250:36   058:31
07:29:21   249:57   058:15
07:29:22   249:20   057:59
07:29:23   248:43   057:42
07:29:24   248:06   057:26
07:29:25   247:31   057:09
