Satellite: METOP-C
Start date & time: 2020-03-11   08:17:07 UTC
Orbit: 6965
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

08:17:07   328:20   056:59
08:17:08   327:40   057:13
08:17:09   326:59   057:26
08:17:10   326:17   057:39
08:17:11   325:35   057:52
08:17:12   324:52   058:05
08:17:13   324:08   058:18
08:17:14   323:24   058:30
08:17:15   322:39   058:42
08:17:16   321:53   058:54
08:17:17   321:07   059:05
08:17:18   320:19   059:17
08:17:19   319:32   059:28
08:17:20   318:43   059:39
08:17:21   317:54   059:49
08:17:22   317:04   059:59
08:17:23   316:14   060:09
08:17:24   315:22   060:19
08:17:25   314:31   060:28
08:17:26   313:38   060:37
08:17:27   312:45   060:46
08:17:28   311:52   060:54
08:17:29   310:58   061:02
08:17:30   310:03   061:10
08:17:31   309:07   061:17
08:17:32   308:12   061:23
08:17:33   307:15   061:30
08:17:34   306:19   061:36
08:17:35   305:21   061:41
08:17:36   304:24   061:47
08:17:37   303:26   061:51
08:17:38   302:27   061:56
08:17:39   301:28   062:00
08:17:40   300:29   062:03
08:17:41   299:30   062:06
08:17:42   298:31   062:09
08:17:43   297:31   062:11
08:17:44   296:31   062:13
08:17:45   295:31   062:14
08:17:46   294:31   062:15
08:17:47   293:30   062:16
08:17:48   292:30   062:15
08:17:49   291:30   062:15
08:17:50   290:30   062:14
08:17:51   289:30   062:13
08:17:52   288:30   062:11
08:17:53   287:30   062:09
08:17:54   286:31   062:06
08:17:55   285:31   062:03
08:17:56   284:32   061:59
08:17:57   283:34   061:55
08:17:58   282:35   061:51
08:17:59   281:37   061:46
08:17:00   280:40   061:41
08:17:01   279:42   061:35
08:17:02   278:46   061:29
08:17:03   277:49   061:22
08:17:04   276:54   061:15
08:17:05   275:58   061:08
08:17:06   275:04   061:01
08:18:07   274:09   060:53
08:18:08   273:16   060:44
08:18:09   272:23   060:36
08:18:10   271:31   060:27
08:18:11   270:39   060:17
08:18:12   269:48   060:08
08:18:13   268:57   059:58
08:18:14   268:08   059:47
08:18:15   267:18   059:37
08:18:16   266:30   059:26
08:18:17   265:42   059:15
08:18:18   264:55   059:03
08:18:19   264:09   058:52
08:18:20   263:23   058:40
08:18:21   262:38   058:28
08:18:22   261:54   058:15
08:18:23   261:10   058:03
08:18:24   260:27   057:50
08:18:25   259:45   057:37
08:18:26   259:03   057:24
08:18:27   258:22   057:10
