Satellite: METOP-C
Start date & time: 2020-03-12   07:55:58 UTC
Orbit: 6978
Time (UTC)   Azimuth (deg:min)   Elevation (deg:min)

07:55:58   009:23   056:59
07:55:59   009:15   057:23
07:55:00   009:07   057:46
07:55:01   008:59   058:10
07:55:02   008:50   058:33
07:55:03   008:42   058:57
07:55:04   008:33   059:21
07:55:05   008:23   059:45
07:55:06   008:14   060:09
07:55:07   008:04   060:34
07:55:08   007:54   060:58
07:55:09   007:43   061:23
07:55:10   007:32   061:48
07:55:11   007:21   062:12
07:55:12   007:09   062:38
07:55:13   006:57   063:03
07:55:14   006:44   063:28
07:55:15   006:31   063:54
07:55:16   006:18   064:19
07:55:17   006:04   064:45
07:55:18   005:49   065:11
07:55:19   005:34   065:37
07:55:20   005:18   066:03
07:55:21   005:01   066:29
07:55:22   004:44   066:55
07:55:23   004:26   067:22
07:55:24   004:08   067:48
07:55:25   003:48   068:15
07:55:26   003:28   068:42
07:55:27   003:06   069:08
07:55:28   002:44   069:35
07:55:29   002:20   070:02
07:55:30   001:55   070:29
07:55:31   001:29   070:56
07:55:32   001:02   071:24
07:55:33   000:33   071:51
07:55:34   000:03   072:18
07:55:35   359:31   072:45
07:55:36   358:57   073:13
07:55:37   358:21   073:40
07:55:38   357:43   074:07
07:55:39   357:02   074:34
07:55:40   356:19   075:02
07:55:41   355:34   075:29
07:55:42   354:45   075:56
07:55:43   353:52   076:23
07:55:44   352:56   076:50
07:55:45   351:56   077:17
07:55:46   350:52   077:43
07:55:47   349:42   078:10
07:55:48   348:27   078:36
07:55:49   347:06   079:02
07:55:50   345:38   079:27
07:55:51   344:03   079:53
07:55:52   342:19   080:17
07:55:53   340:26   080:42
07:55:54   338:22   081:05
07:55:55   336:07   081:28
07:55:56   333:40   081:50
07:55:57   330:59   082:11
07:56:58   328:03   082:31
07:56:59   324:50   082:50
07:56:00   321:21   083:08
07:56:01   317:34   083:23
07:56:02   313:29   083:37
07:56:03   309:06   083:49
07:56:04   304:29   083:59
07:56:05   299:38   084:06
07:56:06   294:37   084:10
07:56:07   289:30   084:12
07:56:08   284:23   084:11
07:56:09   279:21   084:07
07:56:10   274:26   084:01
07:56:11   269:45   083:52
07:56:12   265:18   083:41
07:56:13   261:08   083:27
07:56:14   257:16   083:12
07:56:15   253:41   082:55
07:56:16   250:24   082:37
07:56:17   247:24   082:17
07:56:18   244:38   081:56
07:56:19   242:07   081:34
07:56:20   239:49   081:11
07:56:21   237:42   080:48
07:56:22   235:47   080:24
07:56:23   234:00   079:59
07:56:24   232:23   079:34
07:56:25   230:53   079:09
07:56:26   229:30   078:43
07:56:27   228:13   078:17
07:56:28   227:02   077:50
07:56:29   225:56   077:24
07:56:30   224:55   076:57
07:56:31   223:57   076:30
07:56:32   223:04   076:03
07:56:33   222:14   075:36
07:56:34   221:28   075:09
07:56:35   220:44   074:41
07:56:36   220:03   074:14
07:56:37   219:24   073:47
07:56:38   218:47   073:19
07:56:39   218:13   072:52
07:56:40   217:40   072:25
07:56:41   217:10   071:57
07:56:42   216:40   071:30
07:56:43   216:13   071:03
07:56:44   215:46   070:36
07:56:45   215:21   070:08
07:56:46   214:57   069:41
07:56:47   214:34   069:14
07:56:48   214:13   068:48
07:56:49   213:52   068:21
07:56:50   213:32   067:54
07:56:51   213:13   067:27
07:56:52   212:55   067:01
07:56:53   212:38   066:35
07:56:54   212:21   066:08
07:56:55   212:05   065:42
07:56:56   211:49   065:16
07:56:57   211:35   064:50
07:57:58   211:20   064:24
07:57:59   211:07   063:58
07:57:00   210:54   063:33
07:57:01   210:41   063:07
07:57:02   210:28   062:42
07:57:03   210:17   062:17
07:57:04   210:05   061:52
07:57:05   209:54   061:27
07:57:06   209:43   061:02
07:57:07   209:33   060:38
07:57:08   209:23   060:13
07:57:09   209:13   059:49
07:57:10   209:04   059:25
07:57:11   208:55   059:00
07:57:12   208:46   058:37
07:57:13   208:38   058:13
07:57:14   208:29   057:49
07:57:15   208:21   057:26
07:57:16   208:13   057:02
