LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
METEOR-M2 2
max elevation 83.25; 133 actual points
Start at 11.03.2020  14:26:11
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
330.0   485.5   0       0       0.0     0.0     0       1         0     0  
329.8   478.0   0       0       0.0     0.0     0       1         1     0  
329.6   470.6   0       0       0.0     0.0     0       1         2     0  
329.5   463.3   0       0       0.0     0.0     0       1         3     0  
329.3   456.0   0       0       0.0     0.0     0       1         4     0  
329.1   448.5   0       0       0.0     0.0     0       1         5     0  
328.9   441.3   0       0       0.0     0.0     0       1         6     0  
328.7   433.9   0       0       0.0     0.0     0       1         7     0  
328.5   426.8   0       0       0.0     0.0     0       1         8     0  
328.3   419.5   0       0       0.0     0.0     0       1         9     0  
328.1   412.3   0       0       0.0     0.0     0       1         10     0  
327.9   405.1   0       0       0.0     0.0     0       1         11     0  
327.7   398.0   0       0       0.0     0.0     0       1         12     0  
327.4   390.6   0       0       0.0     0.0     0       1         13     0  
327.2   383.6   0       0       0.0     0.0     0       1         14     0  
326.9   376.4   0       0       0.0     0.0     0       1         15     0  
326.6   369.2   0       0       0.0     0.0     0       1         16     0  
326.4   362.1   0       0       0.0     0.0     0       1         17     0  
326.1   355.0   0       0       0.0     0.0     0       1         18     0  
325.8   347.9   0       0       0.0     0.0     0       1         19     0  
325.4   340.9   0       0       0.0     0.0     0       1         20     0  
325.1   334.0   0       0       0.0     0.0     0       1         21     0  
324.8   326.8   0       0       0.0     0.0     0       1         22     0  
324.4   320.0   0       0       0.0     0.0     0       1         23     0  
324.1   312.9   0       0       0.0     0.0     0       1         24     0  
323.7   306.2   0       0       0.0     0.0     0       1         25     0  
323.3   299.2   0       0       0.0     0.0     0       1         26     0  
322.8   292.2   0       0       0.0     0.0     0       1         27     0  
322.4   285.3   0       0       0.0     0.0     0       1         28     0  
321.9   278.5   0       0       0.0     0.0     0       1         29     0  
321.4   271.9   0       0       0.0     0.0     0       1         30     0  
320.9   265.1   0       0       0.0     0.0     0       1         31     0  
320.4   258.1   0       0       0.0     0.0     0       1         32     0  
319.8   251.4   0       0       0.0     0.0     0       1         33     0  
319.2   244.8   0       0       0.0     0.0     0       1         34     0  
318.5   238.1   0       0       0.0     0.0     0       1         35     0  
317.9   231.5   0       0       0.0     0.0     0       1         36     0  
317.2   224.9   0       0       0.0     0.0     0       1         37     0  
316.4   218.4   0       0       0.0     0.0     0       1         38     0  
315.6   212.1   0       0       0.0     0.0     0       1         39     0  
314.8   205.6   0       0       0.0     0.0     0       1         40     0  
313.9   199.1   0       0       0.0     0.0     0       1         41     0  
312.9   192.9   0       0       0.0     0.0     0       1         42     0  
311.9   186.5   0       0       0.0     0.0     0       1         43     0  
310.8   180.4   0       0       0.0     0.0     0       1         44     0  
309.6   174.2   0       0       0.0     0.0     0       1         45     0  
308.4   168.4   0       0       0.0     0.0     0       1         46     0  
307.0   162.3   0       0       0.0     0.0     0       1         47     0  
305.5   156.4   0       0       0.0     0.0     0       1         48     0  
304.0   150.8   0       0       0.0     0.0     0       1         49     0  
302.3   145.3   0       0       0.0     0.0     0       1         50     0  
300.5   139.7   0       0       0.0     0.0     0       1         51     0  
298.5   134.4   0       0       0.0     0.0     0       1         52     0  
296.4   129.3   0       0       0.0     0.0     0       1         53     0  
294.1   124.3   0       0       0.0     0.0     0       1         54     0  
291.6   119.7   0       0       0.0     0.0     0       1         55     0  
288.9   115.1   0       0       0.0     0.0     0       1         56     0  
286.0   111.0   0       0       0.0     0.0     0       1         57     0  
282.9   107.1   0       0       0.0     0.0     0       1         58     0  
279.6   103.4   0       0       0.0     0.0     0       1         59     0  
276.0   100.2   0       0       0.0     0.0     0       1         60     0  
272.2   97.5    0       0       0.0     0.0     0       1         61     0  
268.3   95.2    0       0       0.0     0.0     0       1         62     0  
264.1   93.4    0       0       0.0     0.0     0       1         63     0  
259.8   92.0    0       0       0.0     0.0     0       1         64     0  
255.4   91.4    0       0       0.0     0.0     0       1         65     0  
251.0   91.1    0       0       0.0     0.0     0       1         66     0  
246.5   91.4    0       0       0.0     0.0     0       1         67     0  
242.2   92.3    0       0       0.0     0.0     0       1         68     0  
237.9   93.6    0       0       0.0     0.0     0       1         69     0  
233.8   95.5    0       0       0.0     0.0     0       1         70     0  
229.8   98.0    0       0       0.0     0.0     0       1         71     0  
226.0   100.7   0       0       0.0     0.0     0       1         72     0  
222.5   103.9   0       0       0.0     0.0     0       1         73     0  
219.2   107.5   0       0       0.0     0.0     0       1         74     0  
216.1   111.4   0       0       0.0     0.0     0       1         75     0  
213.3   115.5   0       0       0.0     0.0     0       1         76     0  
210.6   120.1   0       0       0.0     0.0     0       1         77     0  
208.1   124.7   0       0       0.0     0.0     0       1         78     0  
205.8   129.8   0       0       0.0     0.0     0       1         79     0  
203.8   134.8   0       0       0.0     0.0     0       1         80     0  
201.8   140.2   0       0       0.0     0.0     0       1         81     0  
200.0   145.7   0       0       0.0     0.0     0       1         82     0  
198.3   151.3   0       0       0.0     0.0     0       1         83     0  
196.8   157.1   0       0       0.0     0.0     0       1         84     0  
195.3   163.0   0       0       0.0     0.0     0       1         85     0  
194.0   168.8   0       0       0.0     0.0     0       1         86     0  
192.7   174.9   0       0       0.0     0.0     0       1         87     0  
191.6   181.1   0       0       0.0     0.0     0       1         88     0  
190.5   187.2   0       0       0.0     0.0     0       1         89     0  
189.4   193.4   0       0       0.0     0.0     0       1         90     0  
188.5   199.9   0       0       0.0     0.0     0       1         91     0  
187.6   206.1   0       0       0.0     0.0     0       1         92     0  
186.8   212.6   0       0       0.0     0.0     0       1         93     0  
186.0   219.1   0       0       0.0     0.0     0       1         94     0  
185.2   225.7   0       0       0.0     0.0     0       1         95     0  
184.5   232.2   0       0       0.0     0.0     0       1         96     0  
183.8   238.8   0       0       0.0     0.0     0       1         97     0  
183.2   245.5   0       0       0.0     0.0     0       1         98     0  
182.6   252.2   0       0       0.0     0.0     0       1         99     0  
182.0   258.9   0       0       0.0     0.0     0       1         100     0  
181.5   265.4   0       0       0.0     0.0     0       1         101     0  
181.0   272.2   0       0       0.0     0.0     0       1         102     0  
180.5   279.0   0       0       0.0     0.0     0       1         103     0  
180.0   285.9   0       0       0.0     0.0     0       1         104     0  
179.6   292.8   0       0       0.0     0.0     0       1         105     0  
179.2   299.7   0       0       0.0     0.0     0       1         106     0  
178.8   306.4   0       0       0.0     0.0     0       1         107     0  
178.4   313.4   0       0       0.0     0.0     0       1         108     0  
178.0   320.3   0       0       0.0     0.0     0       1         109     0  
177.7   327.4   0       0       0.0     0.0     0       1         110     0  
177.3   334.3   0       0       0.0     0.0     0       1         111     0  
177.0   341.2   0       0       0.0     0.0     0       1         112     0  
176.7   348.5   0       0       0.0     0.0     0       1         113     0  
176.4   355.5   0       0       0.0     0.0     0       1         114     0  
176.1   362.3   0       0       0.0     0.0     0       1         115     0  
175.8   369.5   0       0       0.0     0.0     0       1         116     0  
175.5   376.7   0       0       0.0     0.0     0       1         117     0  
175.3   383.6   0       0       0.0     0.0     0       1         118     0  
175.0   390.9   0       0       0.0     0.0     0       1         119     0  
174.8   398.0   0       0       0.0     0.0     0       1         120     0  
174.6   405.1   0       0       0.0     0.0     0       1         121     0  
174.3   412.3   0       0       0.0     0.0     0       1         122     0  
174.1   419.5   0       0       0.0     0.0     0       1         123     0  
173.9   426.8   0       0       0.0     0.0     0       1         124     0  
173.7   434.2   0       0       0.0     0.0     0       1         125     0  
173.5   441.3   0       0       0.0     0.0     0       1         126     0  
173.3   448.8   0       0       0.0     0.0     0       1         127     0  
173.2   456.0   0       0       0.0     0.0     0       1         128     0  
173.0   463.3   0       0       0.0     0.0     0       1         129     0  
172.8   470.6   0       0       0.0     0.0     0       1         130     0  
172.6   478.0   0       0       0.0     0.0     0       1         131     0  
Noise level -1
RealTime section
Power level




































































































































SNR




































































































































end
