LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
METOP-A
max elevation 65.57; 95 actual points
Start at 12.03.2020  10:28:48
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
155.7   489.6   0       0       0.0     0.0     0       1         0     0  
155.1   484.6   0       0       0.0     0.0     0       1         1     0  
154.5   479.6   0       0       0.0     0.0     0       1         2     0  
153.8   474.6   0       0       0.0     0.0     0       1         3     0  
153.2   469.7   0       0       0.0     0.0     0       1         4     0  
152.6   464.8   0       0       0.0     0.0     0       1         5     0  
151.9   459.9   0       0       0.0     0.0     0       1         6     0  
151.2   455.1   0       0       0.0     0.0     0       1         7     0  
150.5   450.6   0       0       0.0     0.0     0       1         8     0  
149.8   446.1   0       0       0.0     0.0     0       1         9     0  
149.0   441.6   0       0       0.0     0.0     0       1         10     0  
148.3   437.1   0       0       0.0     0.0     0       1         11     0  
147.5   432.7   0       0       0.0     0.0     0       1         12     0  
146.8   428.6   0       0       0.0     0.0     0       1         13     0  
146.0   424.2   0       0       0.0     0.0     0       1         14     0  
145.2   420.1   0       0       0.0     0.0     0       1         15     0  
144.4   416.3   0       0       0.0     0.0     0       1         16     0  
143.5   412.3   0       0       0.0     0.0     0       1         17     0  
142.7   408.6   0       0       0.0     0.0     0       1         18     0  
141.8   404.8   0       0       0.0     0.0     0       1         19     0  
140.9   401.4   0       0       0.0     0.0     0       1         20     0  
140.0   397.7   0       0       0.0     0.0     0       1         21     0  
139.2   394.3   0       0       0.0     0.0     0       1         22     0  
138.2   391.2   0       0       0.0     0.0     0       1         23     0  
137.3   387.8   0       0       0.0     0.0     0       1         24     0  
136.3   384.7   0       0       0.0     0.0     0       1         25     0  
135.4   382.0   0       0       0.0     0.0     0       1         26     0  
134.4   379.2   0       0       0.0     0.0     0       1         27     0  
133.4   376.4   0       0       0.0     0.0     0       1         28     0  
132.4   373.9   0       0       0.0     0.0     0       1         29     0  
131.4   371.4   0       0       0.0     0.0     0       1         30     0  
130.3   368.9   0       0       0.0     0.0     0       1         31     0  
129.3   366.7   0       0       0.0     0.0     0       1         32     0  
128.2   364.5   0       0       0.0     0.0     0       1         33     0  
127.1   362.6   0       0       0.0     0.0     0       1         34     0  
126.0   361.0   0       0       0.0     0.0     0       1         35     0  
124.9   359.1   0       0       0.0     0.0     0       1         36     0  
123.8   357.7   0       0       0.0     0.0     0       1         37     0  
122.7   356.1   0       0       0.0     0.0     0       1         38     0  
121.6   355.0   0       0       0.0     0.0     0       1         39     0  
120.5   353.9   0       0       0.0     0.0     0       1         40     0  
119.3   352.8   0       0       0.0     0.0     0       1         41     0  
118.2   352.0   0       0       0.0     0.0     0       1         42     0  
117.0   351.2   0       0       0.0     0.0     0       1         43     0  
115.9   350.6   0       0       0.0     0.0     0       1         44     0  
114.7   350.4   0       0       0.0     0.0     0       1         45     0  
113.6   350.1   0       0       0.0     0.0     0       1         46     0  
112.4   349.8   0       0       0.0     0.0     0       1         47     0  
111.3   349.8   0       0       0.0     0.0     0       1         48     0  
110.1   350.1   0       0       0.0     0.0     0       1         49     0  
108.9   350.4   0       0       0.0     0.0     0       1         50     0  
107.8   350.9   0       0       0.0     0.0     0       1         51     0  
106.6   351.5   0       0       0.0     0.0     0       1         52     0  
105.5   352.3   0       0       0.0     0.0     0       1         53     0  
104.4   353.1   0       0       0.0     0.0     0       1         55     0  
103.2   354.2   0       0       0.0     0.0     0       1         56     0  
102.1   355.2   0       0       0.0     0.0     0       1         57     0  
101.0   356.6   0       0       0.0     0.0     0       1         58     0  
99.8    358.2   0       0       0.0     0.0     0       1         59     0  
98.8    359.9   0       0       0.0     0.0     0       1         60     0  
97.6    361.5   0       0       0.0     0.0     0       1         61     0  
96.6    363.4   0       0       0.0     0.0     0       1         62     0  
95.5    365.3   0       0       0.0     0.0     0       1         63     0  
94.4    367.5   0       0       0.0     0.0     0       1         64     0  
93.4    369.7   0       0       0.0     0.0     0       1         65     0  
92.4    372.2   0       0       0.0     0.0     0       1         66     0  
91.3    374.7   0       0       0.0     0.0     0       1         67     0  
90.3    377.2   0       0       0.0     0.0     0       1         68     0  
89.3    380.0   0       0       0.0     0.0     0       1         69     0  
