LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
METOP-C
max elevation 62.27; 76 actual points
Start at 11.03.2020  11:17:09
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
146.3   487.7   0       0       0.0     0.0     0       1         0     0  
145.6   483.6   0       0       0.0     0.0     0       1         1     0  
144.9   479.6   0       0       0.0     0.0     0       1         2     0  
144.1   475.6   0       0       0.0     0.0     0       1         3     0  
143.4   471.9   0       0       0.0     0.0     0       1         4     0  
142.6   468.2   0       0       0.0     0.0     0       1         5     0  
141.9   464.5   0       0       0.0     0.0     0       1         6     0  
141.1   461.1   0       0       0.0     0.0     0       1         7     0  
140.3   457.5   0       0       0.0     0.0     0       1         8     0  
139.5   454.2   0       0       0.0     0.0     0       1         9     0  
138.7   450.9   0       0       0.0     0.0     0       1         10     0  
137.9   447.9   0       0       0.0     0.0     0       1         11     0  
137.1   444.9   0       0       0.0     0.0     0       1         12     0  
136.2   441.9   0       0       0.0     0.0     0       1         13     0  
135.4   438.9   0       0       0.0     0.0     0       1         14     0  
134.5   436.2   0       0       0.0     0.0     0       1         15     0  
133.6   433.6   0       0       0.0     0.0     0       1         16     0  
132.8   430.9   0       0       0.0     0.0     0       1         17     0  
131.9   428.6   0       0       0.0     0.0     0       1         18     0  
131.0   426.2   0       0       0.0     0.0     0       1         19     0  
130.1   423.9   0       0       0.0     0.0     0       1         20     0  
129.1   421.9   0       0       0.0     0.0     0       1         21     0  
128.2   420.1   0       0       0.0     0.0     0       1         22     0  
127.3   418.1   0       0       0.0     0.0     0       1         23     0  
126.3   416.3   0       0       0.0     0.0     0       1         24     0  
125.3   414.9   0       0       0.0     0.0     0       1         25     0  
124.4   413.2   0       0       0.0     0.0     0       1         26     0  
123.4   412.0   0       0       0.0     0.0     0       1         27     0  
122.5   410.6   0       0       0.0     0.0     0       1         28     0  
121.5   409.4   0       0       0.0     0.0     0       1         29     0  
120.5   408.6   0       0       0.0     0.0     0       1         30     0  
119.5   407.7   0       0       0.0     0.0     0       1         31     0  
118.5   406.8   0       0       0.0     0.0     0       1         32     0  
117.5   406.3   0       0       0.0     0.0     0       1         33     0  
116.5   405.7   0       0       0.0     0.0     0       1         34     0  
115.5   405.4   0       0       0.0     0.0     0       1         35     0  
114.5   405.1   0       0       0.0     0.0     0       1         36     0  
113.5   404.8   0       0       0.0     0.0     0       1         37     0  
112.5   405.1   0       0       0.0     0.0     0       1         38     0  
111.5   405.1   0       0       0.0     0.0     0       1         39     0  
110.5   405.4   0       0       0.0     0.0     0       1         40     0  
109.5   405.7   0       0       0.0     0.0     0       1         41     0  
108.5   406.3   0       0       0.0     0.0     0       1         42     0  
107.5   406.8   0       0       0.0     0.0     0       1         43     0  
106.5   407.7   0       0       0.0     0.0     0       1         44     0  
105.5   408.6   0       0       0.0     0.0     0       1         45     0  
104.5   409.7   0       0       0.0     0.0     0       1         46     0  
103.6   410.9   0       0       0.0     0.0     0       1         47     0  
102.6   412.0   0       0       0.0     0.0     0       1         48     0  
101.6   413.4   0       0       0.0     0.0     0       1         49     0  
100.7   414.9   0       0       0.0     0.0     0       1         50     0  
99.7    416.6   0       0       0.0     0.0     0       1         51     0  
98.8    418.4   0       0       0.0     0.0     0       1         52     0  
97.8    420.4   0       0       0.0     0.0     0       1         53     0  
96.9    422.4   0       0       0.0     0.0     0       1         54     0  
96.0    424.5   0       0       0.0     0.0     0       1         55     0  
95.1    426.5   0       0       0.0     0.0     0       1         56     0  
94.1    428.9   0       0       0.0     0.0     0       1         57     0  
93.3    431.5   0       0       0.0     0.0     0       1         58     0  
92.4    433.9   0       0       0.0     0.0     0       1         59     0  
91.5    436.5   0       0       0.0     0.0     0       1         60     0  
90.7    439.5   0       0       0.0     0.0     0       1         62     0  
89.8    442.2   0       0       0.0     0.0     0       1         63     0  
89.0    445.2   0       0       0.0     0.0     0       1         64     0  
88.1    448.5   0       0       0.0     0.0     0       1         65     0  
87.3    451.5   0       0       0.0     0.0     0       1         66     0  
86.5    454.8   0       0       0.0     0.0     0       1         67     0  
85.7    458.1   0       0       0.0     0.0     0       1         68     0  
84.9    461.7   0       0       0.0     0.0     0       1         69     0  
84.2    465.1   0       0       0.0     0.0     0       1         70     0  
83.4    468.8   0       0       0.0     0.0     0       1         71     0  
82.6    472.5   0       0       0.0     0.0     0       1         72     0  
81.9    476.5   0       0       0.0     0.0     0       1         73     0  
81.2    480.2   0       0       0.0     0.0     0       1         74     0  
Noise level -1
RealTime section
Power level










































































SNR










































































end
