LoReTT data file
Configuration:
ver 3.808
Station name Name
Radius 500
Focus 770
Deviation threshold 0.4
Deviation step 4
Max. deviation 31
FeedBack disable
ScanLR disable
ScanFB disable
Korr. koeff.=1
TrackInfo:
NOAA-18 (76319)
max elevation 59.60; 54 actual points
Start at 13.03.2020  18:12:10  (13.03.2020  21:12:10 local)
Actual start at 13.03.2020  21:12:13 (+3sec)
 Fi       R     Korr    Korr0     P      SNR     N      X      step    err
55.3    488.7   0       0       0.0     0.0     0       1         0     0  
56.0    486.1   0       0       0.0     0.0     0       1         1     0  
56.8    483.6   0       0       0.0     0.0     0       1         2     0  
57.5    481.1   0       0       0.0     0.0     0       1         3     0  
58.3    478.7   0       0       0.0     0.0     0       1         4     0  
59.1    476.5   0       0       0.0     0.0     0       1         5     0  
59.9    474.3   0       0       0.0     0.0     0       1         6     0  
60.7    472.2   0       0       0.0     0.0     0       1         7     0  
61.5    470.0   0       0       0.0     0.0     0       1         8     0  
62.3    468.2   0       0       0.0     0.0     0       1         9     0  
63.1    466.3   0       0       0.0     0.0     0       1         10     0  
63.9    464.8   0       0       0.0     0.0     0       1         12     0  
64.8    463.3   0       0       0.0     0.0     0       1         13     0  
65.6    461.7   0       0       0.0     0.0     0       1         14     0  
66.4    460.2   0       0       0.0     0.0     0       1         15     0  
67.3    459.0   0       0       0.0     0.0     0       1         16     0  
68.1    457.8   0       0       0.0     0.0     0       1         17     0  
69.0    456.6   0       0       0.0     0.0     0       1         18     0  
69.8    455.7   0       0       0.0     0.0     0       1         19     0  
70.7    454.8   0       0       0.0     0.0     0       1         20     0  
71.6    454.2   0       0       0.0     0.0     0       1         21     0  
72.4    453.3   0       0       0.0     0.0     0       1         22     0  
73.3    452.7   0       0       0.0     0.0     0       1         23     0  
74.2    452.4   0       0       0.0     0.0     0       1         24     0  
75.1    452.1   0       0       0.0     0.0     0       1         25     0  
75.9    451.8   0       0       0.0     0.0     0       1         26     0  
76.8    451.8   0       0       0.0     0.0     0       1         27     0  
77.7    451.8   0       0       0.0     0.0     0       1         28     0  
78.5    451.8   0       0       0.0     0.0     0       1         29     0  
79.4    451.8   0       0       0.0     0.0     0       1         30     0  
80.3    452.1   0       0       0.0     0.0     0       1         31     0  
81.1    452.7   0       0       0.0     0.0     0       1         32     0  
82.0    453.3   0       0       0.0     0.0     0       1         33     0  
82.9    453.9   0       0       0.0     0.0     0       1         34     0  
83.7    454.5   0       0       0.0     0.0     0       1         35     0  
84.6    455.4   0       0       0.0     0.0     0       1         36     0  
85.5    456.3   0       0       0.0     0.0     0       1         37     0  
86.3    457.2   0       0       0.0     0.0     0       1         38     0  
87.2    458.4   0       0       0.0     0.0     0       1         39     0  
88.0    459.6   0       0       0.0     0.0     0       1         40     0  
88.9    461.1   0       0       0.0     0.0     0       1         41     0  
89.7    462.7   0       0       0.0     0.0     0       1         42     0  
90.5    464.2   0       0       0.0     0.0     0       1         43     0  
91.4    465.7   0       0       0.0     0.0     0       1         44     0  
92.2    467.6   0       0       0.0     0.0     0       1         45     0  
93.0    469.4   0       0       0.0     0.0     0       1         47     0  
93.8    471.2   0       0       0.0     0.0     0       1         48     0  
94.6    473.4   0       0       0.0     0.0     0       1         49     0  
95.4    475.6   0       0       0.0     0.0     0       1         50     0  
96.2    477.7   0       0       0.0     0.0     0       1         51     0  
Noise level -1
RealTime section
Power level


















































SNR


















































end
